# Анализ закона Ципфа
# Всего токенов: 2148231
# Уникальных токенов: 176907
# Константа C (Ципф): 65514.81
# Параметры Мандельброта: a=0.9625, b=2.9797, C=165737.43

Ранг	Токен	Частота	Закон_Ципфа	Относит_ошибка,%
1	160	39493	65514.81	65.89
2	91	36263	32757.41	9.67
3	93	36219	21838.27	39.70
4	ve	35666	16378.70	54.08
5	bir	22149	13102.96	40.84
6	tarihinde	15858	10919.14	31.14
7	mw-parser-output	15079	9359.26	37.93
8	arşivlendi	14579	8189.35	43.83
9	tarihi	12738	7279.42	42.85
10	kaynağından	12653	6551.48	48.22
11	erişim	11912	5955.89	50.00
12	bu	11446	5459.57	52.30
13	1	10222	5039.60	50.70
14	değiştir	10163	4679.63	53.95
15	the	9554	4367.65	54.28
16	a	9491	4094.68	56.86
17	ile	8874	3853.81	56.57
18	da	8714	3639.71	58.23
19	de	8532	3448.15	59.59
20	olarak	8097	3275.74	59.54
21	2	8078	3119.75	61.38
22	s	7507	2977.95	60.33
23	0	7336	2848.47	61.17
24	of	6770	2729.78	59.68
25	3	6648	2620.59	60.58
26	b	6437	2519.80	60.85
27	için	6370	2426.47	61.91
28	em	5732	2339.81	59.18
29	4	5270	2259.13	57.13
30	kaynağı	5213	2183.83	58.11
31	olan	4953	2113.38	57.33
32	daha	4484	2047.34	54.34
33	mayıs	4462	1985.30	55.51
34	İngilizce	4334	1926.91	55.54
35	tarafından	4271	1871.85	56.17
36	5	4238	1819.86	57.06
37	en	4113	1770.67	56.95
38	ekim	4021	1724.07	57.12
39	ise	3984	1679.87	57.83
40	ağustos	3984	1637.87	58.89
41	haziran	3912	1597.92	59.15
42	and	3884	1559.88	59.84
43	in	3820	1523.60	60.12
44	2014	3749	1488.97	60.28
45	temmuz	3724	1455.88	60.91
46	aralık	3667	1424.24	61.16
47	ilk	3612	1393.93	61.41
48	32	3595	1364.89	62.03
49	kasım	3589	1337.04	62.75
50	mart	3583	1310.30	63.43
51	6	3555	1284.60	63.86
52	7	3524	1259.90	64.25
53	8	3499	1236.13	64.67
54	ocak	3477	1213.24	65.11
55	2015	3454	1191.18	65.51
56	Şubat	3362	1169.91	65.20
57	2008	3344	1149.38	65.63
58	9	3334	1129.57	66.12
59	2013	3329	1110.42	66.64
60	c	3313	1091.91	67.04
61	eylül	3281	1074.01	67.27
62	·	3281	1056.69	67.79
63	10	3227	1039.92	67.77
64	sonra	3215	1023.67	68.16
65	nisan	3194	1007.92	68.44
66	12	3043	992.65	67.38
67	gibi	3023	977.83	67.65
68	yer	2915	963.45	66.95
69	d	2877	949.49	67.00
70	2012	2852	935.93	67.18
71	iki	2768	922.74	66.66
72	11	2720	909.93	66.55
73	font-size	2665	897.46	66.32
74	2020	2634	885.34	66.39
75	e	2630	873.53	66.79
76	isbn	2629	862.04	67.21
77	2007	2605	850.84	67.34
78	14	2591	839.93	67.58
79	2011	2525	829.30	67.16
80	list-style-type	2472	818.94	66.87
81	20	2447	808.82	66.95
82	13	2435	798.96	67.19
83	25	2416	789.34	67.33
84	15	2407	779.94	67.60
85	–	2376	770.76	67.56
86	osmanlı	2373	761.80	67.90
87	kadar	2355	753.04	68.02
88	30	2352	744.49	68.35
89	19	2339	736.12	68.53
90	yılında	2315	727.94	68.56
91	ss	2308	719.94	68.81
92	çok	2288	712.12	68.88
93	büyük	2272	704.46	68.99
94	100	2250	696.97	69.02
95	2016	2235	689.63	69.14
96	2009	2224	682.45	69.31
97	com	2202	675.41	69.33
98	17	2170	668.52	69.19
99	21	2161	661.77	69.38
100	göre	2149	655.15	69.51
101	16	2148	648.66	69.80
102	22	2130	642.30	69.84
103	23	2122	636.07	70.03
104	18	2114	629.95	70.20
105	arasında	2105	623.95	70.36
106	2010	2089	618.06	70.41
107	24	2078	612.29	70.53
108	ya	2073	606.62	70.74
109	28	2049	601.05	70.67
110	diğer	2042	595.59	70.83
111	i	2017	590.22	70.74
112	amp	2003	584.95	70.80
113	yeni	2002	579.78	71.04
114	26	1991	574.69	71.14
115	sitesinde	1983	569.69	71.27
116	27	1980	564.78	71.48
117	2018	1968	559.96	71.55
118	29	1966	555.21	71.76
119	g	1892	550.54	70.90
120	m	1888	545.96	71.08
121	te	1886	541.44	71.29
122	olduğu	1884	537.01	71.50
123	machine	1854	532.64	71.27
